"geoid","total"
"36005007600",22
"36005024502",13
"36061021500",984
"36047102600",1
"36047020300",684
"36047040900",11
"36005023702",4
"36047100800",2
"36047023300",1028
"36047039200",8
"36037951100",1
"36081089200",34
"36081071100",253
"36005024900",5
"36005024800",11
"36061023300",2255
"36081063200",1
"36081015100",171
"36047002901",235
"36087011504",1
"36005020900",23
"36081003900",102
"36005045101",9
"36081060800",1
"36061019600",5440
"36047096000",4
"36047029600",11
"36059413500",1
"36081139900",7
"36081088901",32
"36119012101",2
"36085015400",1
"36081094203",4
"36047079801",193
"36081037900",32
"36081053401",2
"36081040300",32
"36061014802",64186
"36081099701",1
"36047084600",4
"36047013800",42
"36061010400",97158
"36081005200",4
"36005033202",6
"36047035900",30
"36081044301",4
"36005011000",11
"36081020400",8
"36061014900",99516
"36081018501",95
"36047030100",41
"36081066400",18
"36047033500",37
"36061012800",93849
"36061007500",37880
"36081051700",157
"36047091200",9
"36047098800",5
"36047013900",1260
"36059990200",1
"36047025700",199
"36103110401",1
"36081041400",3
"36061006400",67733
"36047008200",57
"36087011302",2
"36047019600",3
"36081053800",4
"36061015900",50505
"36005015300",4
"36047018400",2
"36005013500",2
"36005011800",7
"36087010501",1
"36047044200",8
"36005021301",11
"36005014900",6
"36081061400",3
"36081064101",14
"36061023801",856
"36059517802",1
"36047004600",7
"36047041100",15
"36081008500",501
"36047022400",10
"36085003900",1
"36081005700",933
"36081010300",279
"36059303400",1
"36081046500",41
"36047114202",2
"36081073100",8
"36061027300",659
"36047042800",2
"36087011403",2
"36047038800",2
"36047032700",545
"36103146704",1
"36047052900",840
"36081112900",5
"36047112200",5
"36005036502",2
"36119001303",2
"36047018100",1474
"36061016300",60430
"36081005500",739
"36005003900",117
"36081003000",41
"36081116100",36
"36047064000",1
"36047115600",8
"36059407700",2
"36047025901",121
"36047011000",14
"36081071900",36
"36081062400",2
"36081032800",2
"36061009900",171170
"36047041401",5
"36059415201",2
"36047065200",7
"36059303500",2
"36005028500",38
"36081048000",70
"36081120300",4
"36061024000",693
"36047015700",664
"36081046700",25
"36047019200",7
"36081017400",16
"36081054900",79
"36081050000",3
"36081053000",1
"36119009800",9
"36061013700",183417
"36081064102",43
"36047026500",113
"36047051500",1465
"36119001700",1
"36081049301",17
"36047011900",2542
"36081050700",91
"36047044000",27
"36005021800",11
"36081063800",15
"36047043200",13
"36081030903",728
"36061011300",135985
"36047082000",42
"36047075800",2
"36059520401",2
"36085001800",8
"36119010600",1
"36047044900",1141
"36047119600",12
"36081051300",9
"36061022400",1708
"36061006000",15081
"36059410400",8
"36081097204",1
"36061020101",2515
"36047022600",14
"36081044000",3
"36059407301",50
"36047109800",6
"36047040500",30
"36047033600",3
"36047030000",4
"36059412800",2
"36047102200",1
"36059406501",4
"36081017200",16
"36047116600",11
"36047000502",4275
