"geoid","total"
"36081071100",336
"36005024900",6
"36005024800",17
"36061023300",2659
"36081015100",166
"36047002901",259
"36087011504",1
"36005020900",24
"36085002100",3
"36081003900",112
"36005045101",12
"36061019600",6623
"36047096000",8
"36047029600",39
"36059413500",3
"36081139900",1
"36081088901",37
"36119012101",2
"36081094203",1
"36047079801",179
"36081037900",26
"36081040300",38
"36061014802",74730
"36081099701",2
"36047084600",5
"36047013800",44
"36061010400",116407
"36081005200",3
"36005033202",8
"36047035900",30
"36081044301",17
"36005011000",24
"36081020400",8
"36061014900",102736
"36081018501",118
"36047030100",46
"36081066400",43
"36047033500",39
"36061012800",105370
"36061007500",44752
"36081051700",181
"36047091200",6
"36047098800",3
"36047013900",1364
"36047025700",230
"36103110401",1
"36081041400",3
"36061006400",73867
"36047008200",68
"36087011302",4
"36047019600",4
"36005036902",3
"36081053800",2
"36061015900",56409
"36005015300",11
"36005013500",10
"36005011800",22
"36087010501",1
"36047044200",11
"36005021301",6
"36005014900",9
"36081061400",1
"36047094402",2
"36081064101",12
"36061023801",1039
"36059517802",2
"36047004600",11
"36047041100",19
"36047022400",13
"36081008500",469
"36081005700",1053
"36081010300",382
"36059303400",1
"36081046500",65
"36047114202",1
"36081073100",8
"36061027300",776
"36047042800",3
"36047038800",4
"36047032700",589
"36047052900",886
"36081112900",3
"36047112200",13
"36005036502",3
"36047018100",1895
"36061016300",65324
"36081005500",669
"36005003900",163
"36081003000",6
"36081116100",27
"36047064000",3
"36047115600",10
"36119985000",1
"36059407700",2
"36047025901",190
"36059407201",1
"36047011000",10
"36081071900",37
"36081062400",5
"36081032800",1
"36061009900",168356
"36047041401",8
"36047065200",8
"36059303500",1
"36005028500",33
"36081048000",7
"36081120300",1
"36061024000",827
"36047015700",731
"36081046700",37
"36047019200",3
"36103134906",2
"36081017400",10
"36081054900",82
"36081053000",4
"36119009800",6
"36061013700",206595
"36081064102",45
"36047026500",156
"36047051500",1586
"36119001700",4
"36081049301",19
"36047011900",3114
"36081050700",68
"36047044000",12
"36005021800",29
"36081063800",8
"36047043200",18
"36081030903",698
"36061011300",141182
"36047082000",53
"36047075800",5
"36085017600",4
"36111950900",1
"36085001800",8
"36119010600",4
"36047044900",1436
"36047119600",17
"36081051300",23
"36061022400",2025
"36061006000",15834
"36059410400",8
"36061020101",3156
"36081027800",3
"36047022600",6
"36081044000",2
"36059407301",44
"36047109800",8
"36047040500",27
"36047033600",3
"36047030000",3
"36059412800",2
"36059406501",2
"36081017200",7
"36047116600",5
"36047000502",5062
"36059300600",6
"36061001002",1145
"36061008700",82568
"36081155102",9
"36047027500",179
"36005004600",6
"36059519200",1
"36061005502",81676
"36047043700",71
"36081071306",218
"36047096400",1
"36047080800",25
"36085020804",1
"36047025902",41
"36047012000",56
"36081052500",5
"36047020000",2
"36119007500",3
"36047007600",45
"36119002204",2
"36005042100",33
"36005037400",3
"36047079602",250
"36047032500",240
"36047029300",84
"36059409800",19
"36081068200",1
"36081016400",1
"36081010400",5
"36119006100",5
"36005038500",12
"36047094401",4
"36005006400",9
"36059302501",1
"36005002800",20
"36061015200",31460
"36103147003",1
"36059517400",2
"36047059800",7
"36047055300",13615
"36081029400",30
"36047049200",144
"36081129102",17
"36081011000",7
"36047079400",77
"36081120500",12
"36061015002",60294
"36081071701",598
"36047107800",8
"36005042600",3
"36061029300",189
"36061007900",130031
"36047033700",244
"36081047000",2
"36103158007",3
"36081060701",7
"36005004300",64
"36081032900",193
"36047019000",11
"36119013900",1
"36047051200",80
"36005014701",12
"36047078800",30
"36081011500",1887
"36081015801",38
"36081038302",1129
"36005019400",10
"36081080301",26
"36005038302",16
"36047036001",3
"36047056500",2756
"36059405200",2
"36047990100",5
"36047081000",14
"36005016100",11
"36081146300",2
"36085029103",4
"36119003500",2
"36061021900",5203
"36119007100",20
"36119005701",4
"36047035500",52
"36081147900",3
"36081073700",200
"36047079802",357
"36103145605",1
"36047019100",1554
"36047066000",1
"36061010000",177812
"36081056400",4
"36061015802",10775
"36061004800",66772
"36005037200",2
"36047066200",6
"36047006000",35
"36005040303",6
"36047037300",111
"36061019900",24811
"36047026200",7
"36081017000",8
"36059407204",1
"36081157102",23
"36081076901",77
"36047033100",20
"36081019900",1228
"36061005400",89136
"36081045000",31
"36119008901",3
"36059408000",1
"36081014400",45
"36081058300",17
"36085007000",4
"36081054000",2
"36081056500",6
"36085022600",3
"36021000300",1
"36047005900",651
