"geoid","total"
"36047098800",6
"36047013900",1371
"36047025700",417
"36081041400",10
"36061006400",2
"36047008200",61
"36047019600",1
"36005036902",64
"36005015300",238
"36047018400",1
"36005013500",132
"36119002401",1
"36005011800",16
"36047044200",6
"36005021301",151
"36005014900",310
"36047094402",1
"36081064101",16
"36061023801",357
"36047004600",3
"36047041100",45
"36081008500",307
"36047022400",10
"36081005700",2515
"36081010300",277
"36081046500",1748
"36047114202",3
"36081073100",100
"36061027300",1301
"36047038800",8
"36047032700",529
"36047052900",585
"36081112900",37
"36047112200",21
"36005036502",131
"36119001303",10
"36047018100",2874
"36081005500",602
"36061016300",2
"36005003900",1769
"36081003000",11
"36081116100",32
"36047064000",3
"36047115600",39
"36047025901",271
"36047011000",21
"36081071900",73
"36081032800",1
"36061009900",13
"36047041401",5
"36047065200",20
"36005028500",262
"36081048000",12
"36081120300",5
"36061024000",135
"36047015700",1554
"36081046700",360
"36047019200",3
"36005043600",3
"36081017400",18
"36081054900",91
"36081050000",23
"36081053000",4
"36119009800",1
"36081064102",65
"36061013700",1
"36047026500",345
"36047051500",1655
"36081049301",94
"36047011900",3220
"36081050700",26
"36047044000",7
"36005021800",298
"36081063800",7
"36047043200",9
"36081030903",983
"36061011300",4
"36047082000",123
"36047075800",3
"36085001800",2
"36047044900",941
"36047119600",269
"36081051300",36
"36061022400",4177
"36061006000",1
"36059410400",4
"36081097204",2
"36061020101",4531
"36081027800",8
"36081044000",17
"36047022600",6
"36059407301",4
"36047109800",26
"36047040500",42
"36047033600",20
"36047030000",11
"36059412800",1
"36081017200",8
"36047116600",12
"36047000502",2919
"36061001002",9
"36081155102",8
"36061008700",3
"36047027500",406
"36005004600",89
"36081071306",494
"36047043700",124
"36047096400",12
"36047080800",97
"36047025902",79
"36047012000",23
"36081052500",12
"36047020000",3
"36047007600",51
"36119002204",15
"36005042100",2271
"36005037400",101
"36047079602",297
"36047032500",340
"36047029300",250
"36081016400",10
"36081010400",7
"36119006100",1
"36081039800",7
"36005038500",548
"36047094401",18
"36005006400",93
"36005002800",173
"36061015200",136
"36059517400",1
"36047059800",15
"36047055300",22422
"36081029400",35
"36047049200",126
"36047079400",181
"36081011000",19
"36081120500",14
"36061015002",7
"36081071701",3461
"36047107800",7
"36005042600",21
"36061029300",1936
"36047033000",108
"36061007900",3
"36047033700",232
"36081047000",29
"36081060701",20
"36005004300",949
"36081032900",312
"36047019000",2
"36047051200",94
"36005014701",380
"36047078800",41
"36081011500",8834
"36081015801",26
"36081038302",2597
"36005019400",138
"36081080301",82
"36005038302",606
"36047036001",3
"36047056500",4865
"36047081000",47
"36059520402",2
"36005016100",368
"36081146300",4
"36119003500",3
"36061021900",4180
"36119007100",1
"36047035500",88
"36081147900",3
"36081073700",6046
"36047079802",460
"36047019100",2569
"36047066000",2
"36061010000",5
"36081056400",1
"36061015802",4442
"36005037200",22
"36061004800",4
"36047066200",2
"36005040303",401
"36047006000",53
"36047037300",179
"36061019900",14350
"36081017000",9
"36081157102",7
"36081076901",285
"36047033100",40
"36081019900",412
"36081045000",59
"36119008901",2
"36119010801",1
"36081014400",162
"36081058300",23
"36081054000",9
"36081056500",7
"36085022600",1
"36047005900",362
"36047080400",88
"36047034100",281
"36081002400",11
"36119000300",4
"36081161700",5
"36081137700",3
"36081047500",633
"36059404800",4
"36005027300",353
"36005007700",177
"36059410900",14
"36085023900",3
"36047027100",677
"36047030700",127
"36005018301",907
"36081157903",9
"36081045200",20
"36081074500",194
