"geoid","total"
"36081003900",19
"36005045101",11
"36081060800",1
"36061019600",83
"36047096000",3
"36047029600",8
"36059413500",2
"36081139900",3
"36081088901",12
"36119012101",1
"36047079801",42
"36081037900",1
"36081053401",3
"36081040300",2
"36061014802",1016
"36081099701",6
"36047084600",4
"36047013800",24
"36061010400",5701
"36081005200",3
"36005033202",4
"36047035900",25
"36119983000",1
"36005011000",2
"36081044301",1
"36081020400",1
"36061014900",1825
"36047030100",46
"36081018501",27
"36081066400",17
"36047033500",58
"36061012800",2569
"36061007500",2606
"36081051700",17
"36047091200",6
"36047098800",4
"36047013900",172
"36047025700",126
"36081041400",7
"36061006400",1735
"36047008200",22
"36047019600",3
"36081053800",4
"36005036902",3
"36061015900",1136
"36005015300",5
"36047018400",2
"36005013500",5
"36119002401",6
"36005011800",5
"36047044200",10
"36005021301",5
"36005014900",3
"36059517101",1
"36047094402",6
"36061023801",59
"36059517802",2
"36047004600",5
"36047041100",34
"36081008500",26
"36047022400",1
"36085003900",2
"36081005700",138
"36081010300",46
"36059303400",5
"36081046500",3
"36047114202",2
"36081073100",8
"36061027300",78
"36047042800",4
"36085003600",2
"36047038800",2
"36047032700",82
"36047052900",58
"36081112900",6
"36047112200",7
"36005036502",3
"36047018100",506
"36061016300",1386
"36081005500",59
"36005003900",10
"36081003000",1
"36081116100",3
"36047064000",2
"36047115600",3
"36059407700",1
"36047025901",64
"36047011000",21
"36081071900",5
"36081032800",4
"36061009900",10361
"36047041401",41
"36059415201",2
"36047065200",9
"36059303500",8
"36005028500",32
"36081048000",3
"36081120300",1
"36061024000",111
"36047015700",304
"36081046700",7
"36047019200",8
"36103145603",1
"36103134906",1
"36081017400",5
"36081054900",15
"36081050000",1
"36081053000",2
"36119009800",19
"36061013700",6586
"36081064102",6
"36047026500",98
"36047051500",392
"36119001700",2
"36103112001",1
"36081049301",4
"36047011900",783
"36081050700",7
"36047044000",19
"36005021800",3
"36081063800",6
"36047043200",5
"36081030903",15
"36061011300",4608
"36047082000",37
"36047075800",8
"36085017600",1
"36059520401",2
"36085001800",1
"36119010600",4
"36047044900",390
"36047119600",9
"36081051300",14
"36061022400",88
"36061006000",666
"36059410400",7
"36081097204",1
"36061020101",121
"36047022600",8
"36081044000",2
"36059407301",76
"36047109800",7
"36047040500",22
"36047033600",2
"36047030000",4
"36059412800",2
"36059406501",13
"36081017200",10
"36047116600",1
"36047000502",330
"36059300600",14
"36061001002",67
"36061008700",3032
"36081155102",19
"36047027500",91
"36005004600",4
"36059519200",1
"36061005502",4471
"36047043700",79
"36081071306",18
"36047096400",3
"36047080800",18
"36047025902",9
"36047012000",20
"36081052500",7
"36047020000",7
"36119007500",10
"36047007600",9
"36119002204",20
"36005042100",24
"36005037400",6
"36119011902",3
"36047079602",44
"36047032500",81
"36047029300",41
"36085013301",1
"36059409800",9
"36081068200",1
"36119012301",1
"36081016400",9
"36081010400",1
"36119006100",1
"36047094401",18
"36005038500",10
"36005006400",1
"36059302501",4
"36005002800",3
"36061015200",707
"36047059800",3
"36047055300",661
"36081029400",18
"36047049200",19
"36081129102",8
"36047079400",11
"36081011000",1
"36081120500",2
"36061015002",1225
"36081071701",16
"36047107800",5
"36005042600",7
"36061029300",23
"36047033000",4
"36061007900",7977
"36059411902",1
"36047033700",77
"36081047000",1
"36081060701",2
"36005004300",4
"36081032900",80
"36047019000",5
"36119013900",1
"36005014701",7
"36047051200",21
"36047078800",12
"36081011500",101
"36081015801",1
"36081038302",289
"36005019400",3
"36059412302",2
"36081080301",4
"36005038302",11
"36047036001",4
"36047056500",647
"36059405200",3
"36047081000",11
"36059520402",1
"36005016100",6
"36081146300",1
"36119003500",1
"36061021900",113
"36119007100",11
"36119005701",11
"36047035500",20
"36081147900",14
"36081073700",40
"36047079802",60
"36047019100",404
"36047066000",2
"36061010000",6299
"36081056400",2
"36061015802",186
"36061004800",1588
"36005037200",1
"36047066200",3
"36047006000",42
"36005040303",3
"36047037300",37
"36061019900",382
"36047026200",4
"36081017000",1
"36059407204",4
"36081157102",1
"36081076901",38
"36047033100",36
"36081019900",159
"36061005400",4780
"36081045000",2
"36119008901",5
"36059408000",2
"36119010801",2
"36081014400",2
"36081058300",13
"36081054000",3
"36085007000",3
"36081056500",7
"36047005900",232
"36047080400",42
"36047034100",69
"36081002400",9
"36119000300",1
"36081161700",3
"36081137700",2
"36059404800",4
"36081047500",9
"36005027300",10
"36005007700",2
"36059410900",9
"36081059400",1
"36085023900",1
"36059518700",4
"36047027100",62
"36047030700",40
"36005018301",32
"36081157903",13
"36119004700",14
"36081045200",2
"36081074500",10
"36059301000",3
"36005005400",4
"36047039900",52
"36081079200",88
"36081040000",10
"36047026900",84
"36047051400",42
"36119009400",24
"36061008400",4981
"36061003100",1641
"36061003900",6303
"36005038800",2
"36047045400",5
"36081050500",6
"36005043000",1
"36059412301",11
"36005022000",4
"36047059200",4
"36005038700",30
"36059411600",16
"36047036700",17
"36103147300",1
"36103110102",1
"36005026601",3
"36005032400",3
"36081066701",2
"36061014602",911
"36081091800",1
"36059408900",1
"36059411500",3
"36059519900",1
"36059410200",3
"36059518800",2
"36047017200",5
"36047005800",30
"36081084900",6
"36047029900",25
"36081039900",13
"36005025300",1
"36005039700",58
"36061024302",6
"36061027100",58
"36061029700",12
"36005041400",7
"36059518400",4
"36047093600",7
"36081081800",3
"36005022403",1
"36061023400",42
"36047002200",41
"36005016300",1
"36047083400",1
"36059410800",7
"36047021900",176
"36081001200",7
"36119007000",10
"36081013000",5
"36119011102",1
"36119009600",3
"36081045800",5
"36081026000",1
"36081018402",8
"36047037900",46
"36005045102",2
"36081003100",76
"36047054500",12
"36103135205",2
"36061029900",12
