"","Date/Time","Lat","Lon","Base"
"1","4/1/2014 0:11:00",40.76904735,-73.9548761,"B02512"
"2","4/1/2014 0:17:00",40.72668741,-74.03452743,"B02512"
"3","4/1/2014 0:21:00",40.73162128,-73.98734359,"B02512"
"4","4/1/2014 0:28:00",40.75875632,-73.97755539,"B02512"
"5","4/1/2014 0:33:00",40.75943894,-73.97218195,"B02512"
"6","4/1/2014 0:33:00",40.73830444,-74.04034892,"B02512"
"7","4/1/2014 0:39:00",40.7222737,-73.98873455,"B02512"
"8","4/1/2014 0:45:00",40.76200972,-73.97896028,"B02512"
"9","4/1/2014 0:55:00",40.75238508,-73.99600971,"B02512"
"10","4/1/2014 1:01:00",40.75753379,-73.98455811,"B02512"
"11","4/1/2014 1:19:00",40.72555527,-73.98689593,"B02512"
"12","4/1/2014 1:48:00",40.75907744,-73.96840179,"B02512"
"13","4/1/2014 1:49:00",40.72711745,-73.98030633,"B02512"
"14","4/1/2014 2:11:00",40.64627726,-73.78962977,"B02512"
"15","4/1/2014 2:25:00",40.75640574,-73.91667222,"B02512"
"16","4/1/2014 2:31:00",40.7665803,-73.95310232,"B02512"
"17","4/1/2014 2:43:00",40.75804517,-73.9760791,"B02512"
"18","4/1/2014 3:22:00",40.72382671,-73.98214976,"B02512"
"19","4/1/2014 3:35:00",40.75307649,-74.00393934,"B02512"
"20","4/1/2014 3:35:00",40.73891459,-74.03927964,"B02512"
"21","4/1/2014 3:41:00",40.76192477,-73.97150417,"B02512"
"22","4/1/2014 4:11:00",40.75300709,-74.00415259,"B02512"
"23","4/1/2014 4:15:00",40.65607455,-73.95314337,"B02512"
"24","4/1/2014 4:19:00",40.72500676,-73.98436133,"B02512"
"25","4/1/2014 4:20:00",40.69501688,-74.17831764,"B02512"
"26","4/1/2014 4:26:00",40.9858549,-74.15778902,"B02512"
"27","4/1/2014 4:27:00",40.68785544,-74.18139288,"B02512"
"28","4/1/2014 4:38:00",40.68784259,-74.18155524,"B02512"
"29","4/1/2014 4:47:00",40.72342229,-73.99735226,"B02512"
"30","4/1/2014 4:49:00",40.73362306,-73.99001735,"B02512"
"31","4/1/2014 5:08:00",40.71406427,-74.00942728,"B02512"
"32","4/1/2014 5:12:00",40.78931448,-73.97093612,"B02512"
"33","4/1/2014 5:18:00",40.77468395,-73.99104313,"B02512"
"34","4/1/2014 5:19:00",40.76890694,-73.98764402,"B02512"
"35","4/1/2014 5:23:00",40.77440504,-74.0149474,"B02512"
"36","4/1/2014 5:24:00",40.73931578,-73.99737542,"B02512"
"37","4/1/2014 5:24:00",40.77762351,-73.97519459,"B02512"
"38","4/1/2014 5:27:00",40.64834998,-73.78292793,"B02512"
"39","4/1/2014 5:34:00",40.69074335,-74.17818711,"B02512"
"40","4/1/2014 5:36:00",40.72166942,-73.98751376,"B02512"
"41","4/1/2014 5:36:00",40.76505254,-73.96324406,"B02512"
"42","4/1/2014 5:40:00",40.74365968,-73.99848626,"B02512"
"43","4/1/2014 5:43:00",40.76052053,-73.97802515,"B02512"
"44","4/1/2014 5:44:00",40.74299002,-74.0300598,"B02512"
"45","4/1/2014 5:44:00",40.74299002,-74.0300598,"B02512"
"46","4/1/2014 5:49:00",40.74229527,-74.0371472,"B02512"
"47","4/1/2014 5:49:00",40.72358921,-74.00372311,"B02512"
"48","4/1/2014 5:52:00",40.77234455,-73.95271202,"B02512"
"49","4/1/2014 5:52:00",40.75743881,-73.98624649,"B02512"
"50","4/1/2014 5:53:00",40.78378759,-73.95036084,"B02512"
"51","4/1/2014 5:54:00",40.7710802,-73.98714573,"B02512"
"52","4/1/2014 5:56:00",40.75711641,-73.97255617,"B02512"
"53","4/1/2014 5:56:00",40.7441597,-73.9854353,"B02512"
"54","4/1/2014 5:58:00",40.71660122,-74.01444725,"B02512"
"55","4/1/2014 6:00:00",40.75071688,-73.97028875,"B02512"
"56","4/1/2014 6:01:00",40.73369293,-73.99794973,"B02512"
"57","4/1/2014 6:02:00",40.72358374,-74.01109581,"B02512"
"58","4/1/2014 6:03:00",40.7151027,-74.04637635,"B02512"
"59","4/1/2014 6:06:00",40.7700506,-73.95883181,"B02512"
"60","4/1/2014 6:08:00",40.85996504,-73.91415283,"B02512"
"61","4/1/2014 6:08:00",40.75545239,-73.97293394,"B02512"
"62","4/1/2014 6:14:00",40.72490609,-74.03549345,"B02512"
"63","4/1/2014 6:14:00",40.61929051,-74.15697271,"B02512"
"64","4/1/2014 6:15:00",40.77529047,-73.97796602,"B02512"
"65","4/1/2014 6:15:00",40.72041153,-73.95446633,"B02512"
"66","4/1/2014 6:16:00",40.77721656,-73.95949032,"B02512"
"67","4/1/2014 6:17:00",40.76510905,-74.08203104,"B02512"
"68","4/1/2014 6:17:00",40.74002324,-73.98792772,"B02512"
"69","4/1/2014 6:19:00",40.77409462,-73.95684637,"B02512"
"70","4/1/2014 6:20:00",40.75987015,-73.99438164,"B02512"
"71","4/1/2014 6:21:00",40.75310543,-74.00391775,"B02512"
"72","4/1/2014 6:22:00",40.77911215,-73.9623036,"B02512"
"73","4/1/2014 6:25:00",40.73823198,-74.00330795,"B02512"
"74","4/1/2014 6:31:00",40.73913039,-73.99887267,"B02512"
"75","4/1/2014 6:31:00",40.78060036,-73.98200878,"B02512"
"76","4/1/2014 6:32:00",40.73218552,-73.98629621,"B02512"
"77","4/1/2014 6:33:00",40.77030628,-73.96601894,"B02512"
"78","4/1/2014 6:34:00",40.72213965,-74.00184581,"B02512"
"79","4/1/2014 6:35:00",40.75879327,-73.98946271,"B02512"
