"","vendor_id"," pickup_datetime"," dropoff_datetime"," passenger_count"," trip_distance"," pickup_longitude"," pickup_latitude"," rate_code"," store_and_fwd_flag"," dropoff_longitude"," dropoff_latitude"," payment_type"," fare_amount"," surcharge"," mta_tax"," tip_amount"," tolls_amount"," total_amount"
"49","CMT",NA,NA,1,0.9,-73.995022,40.760434,1,"N",-73.985168,40.767998,"CRD",5.5,1,0.5,1,0,8
"50","CMT",NA,NA,1,1,-73.985998,40.753035,1,"N",-73.978322,40.763018,"CRD",9,0,0.5,1.9,0,11.4
"51","CMT",NA,NA,1,1.6,-73.981321,40.768774,1,"N",-73.984642,40.768656,"CRD",12.5,0,0.5,2.6,0,15.6
"52","CMT",NA,NA,1,1.9,-73.99305,40.768202,1,"N",-73.995332,40.749532,"CRD",10.5,0,0.5,2,0,13
"53","CMT",NA,NA,1,1.6,-73.97711,40.762647,1,"N",-73.997682,40.756502,"CRD",8.5,0.5,0.5,1,0,10.5
"54","CMT",NA,NA,1,1.3,-73.991563,40.74993,1,"N",-73.984031,40.764757,"CRD",9.5,0,0.5,2.5,0,12.5
"55","CMT",NA,NA,1,1.1,0,0,1,"N",0,0,"CRD",9,0,0.5,1.25,0,10.75
"56","CMT",NA,NA,1,3.4,0,0,1,"N",0,0,"CRD",8.5,0,0.5,2.25,0,11.25
"57","CMT",NA,NA,1,2.6,-73.988702,40.757862,1,"N",-74.005628,40.726549,"CRD",14,0,0.5,2.9,0,17.4
"58","CMT",NA,NA,1,3.3,-74.00659,40.732104,1,"Y",-73.971159,40.761878,"CRD",17.5,0,0.5,3.6,0,21.6
"59","CMT",NA,NA,1,3.8,-73.992891,40.724374,1,"N",-73.956301,40.763599,"CRD",17.5,0,0.5,3.6,0,21.6
"60","CMT",NA,NA,1,1.6,-74.003837,40.752979,1,"N",-74.000462,40.737077,"CRD",7,0,0.5,1,0,8.5
"61","CMT",NA,NA,1,2.3,-73.984713,40.728512,1,"N",-73.976478,40.756773,"CRD",17,0,0.5,1,0,18.5
"62","CMT",NA,NA,1,4.7,-73.971638,40.75896,1,"N",-74.004808,40.728455,"CRD",18.5,0,0.5,3.8,0,22.8
"63","CMT",NA,NA,1,5,-73.994222,40.750993,1,"N",-73.96454,40.806983,"CRD",20.5,0,0.5,2,0,23
"64","CMT",NA,NA,1,0.9,-73.992144,40.74894,1,"N",-73.993069,40.739066,"CRD",6,0,0.5,1.3,0,7.8
"65","CMT",NA,NA,2,1.3,-73.984921,40.769015,1,"N",-73.997739,40.751332,"CRD",8.5,0,0.5,0.1,0,9.1
"66","CMT",NA,NA,1,0.6,-73.956087,40.766531,1,"N",-73.951151,40.774974,"CRD",5,0,0.5,0.5,0,6
"67","CMT",NA,NA,1,0.9,-73.981239,40.747899,1,"N",-73.983568,40.758562,"CRD",8.5,0,0.5,1.8,0,10.8
"68","CMT",NA,NA,1,0.7,-73.977649,40.742373,1,"N",-73.98395,40.733749,"CRD",4.5,0,0.5,1,0,6
"69","CMT",NA,NA,1,1.2,-73.980547,40.742408,1,"N",-73.987704,40.728718,"CRD",6.5,0,0.5,1.4,0,8.4
"70","CMT",NA,NA,1,1.1,-73.991344,40.754642,1,"N",-74.005584,40.751006,"CRD",7,0,0.5,1.5,0,9
"71","CMT",NA,NA,1,2.1,-73.961588,40.774049,1,"N",-73.990297,40.769588,"CRD",12,0,0.5,3.12,0,15.62
"72","CMT",NA,NA,2,0.4,-74.003521,40.726905,1,"N",-74.00552,40.732541,"CRD",4,0,0.5,0.9,0,5.4
"73","CMT",NA,NA,1,3.6,-73.951845,40.785039,1,"N",-73.991292,40.75062,"CRD",22,0,0.5,2,0,24.5
"74","CMT",NA,NA,1,0.7,-73.956034,40.784273,1,"N",-73.957511,40.776768,"CRD",5.5,0,0.5,1,0,7
"75","CMT",NA,NA,1,2.2,0,0,1,"N",0,0,"CRD",11,0,0.5,2.3,0,13.8
"76","CMT",NA,NA,1,1.4,-73.976938,40.764218,1,"N",-73.964198,40.767923,"CRD",6.5,0,0.5,1.4,0,8.4
"77","CMT",NA,NA,1,10.7,-73.982877,40.781568,1,"N",-73.862054,40.7686,"CRD",35,0,0.5,10.2,5.33,51.03
"78","CMT",NA,NA,1,6.5,-73.976793,40.757626,1,"N",-74.015026,40.709631,"CRD",24,0,0.5,6.12,0,30.62
"79","CMT",NA,NA,1,2.4,-73.985352,40.731774,1,"N",-74.009043,40.717059,"CRD",10.5,0,0.5,2.75,0,13.75
"80","CMT",NA,NA,1,3.4,-73.989617,40.679998,1,"N",-74.006936,40.705122,"CRD",14,0,0.5,2.9,0,17.4
"81","CMT",NA,NA,1,1.5,-73.973423,40.744,1,"N",-73.982037,40.757672,"CRD",9.5,0,0.5,1,0,11
"82","CMT",NA,NA,1,1.8,-73.991987,40.754293,1,"N",-73.97007,40.761897,"CRD",12,0,0.5,1,0,13.5
"83","CMT",NA,NA,1,0.3,-73.961576,40.774178,1,"N",-73.958416,40.778633,"CRD",4,0,0.5,0.25,0,4.75
"84","CMT",NA,NA,1,2,-73.953205,40.782664,1,"N",-73.972852,40.759098,"CRD",11,0,0.5,2.3,0,13.8
"85","CMT",NA,NA,1,0.9,-73.963354,40.774601,1,"N",-73.953526,40.78396,"CRD",5.5,0,0.5,1.2,0,7.2
"86","CMT",NA,NA,1,2.2,-73.982052,40.775343,1,"N",-73.963443,40.799461,"CRD",9,0,0.5,1.9,0,11.4
"87","CMT",NA,NA,2,4.5,-73.96018,40.766551,1,"N",-74.007319,40.725108,"CRD",21,0,0.5,2.8,0,24.3
"88","CMT",NA,NA,1,1.7,-73.9592,40.777263,1,"N",-73.976073,40.765732,"CRD",13.5,0,0.5,2,0,16
"89","CMT",NA,NA,2,1.7,-73.97574,40.75158,1,"N",-73.982752,40.766813,"CRD",9,1,0.5,1,0,11.5
"90","CMT",NA,NA,1,1.9,-73.949332,40.772866,1,"N",-73.966678,40.788927,"CRD",9.5,0,0.5,2,0,12
"91","CMT",NA,NA,1,6.2,-73.992334,40.694139,1,"N",-73.996755,40.763597,"CRD",24,0,0.5,4,0,28.5
"92","CMT",NA,NA,1,0.9,-73.967403,40.752363,1,"N",-73.971287,40.762236,"CRD",8,0,0.5,1,0,9.5
"93","CMT",NA,NA,1,3,-73.993273,40.727766,1,"N",-73.969396,40.765976,"CRD",12.5,0.5,0.5,2.7,0,16.2
"94","CMT",NA,NA,1,3.3,-74.002474,40.726574,1,"N",-73.973357,40.762809,"CRD",18,0,0.5,3.7,0,22.2
"95","CMT",NA,NA,1,4,-73.952272,40.768746,1,"N",-73.991383,40.75001,"CRD",18,1,0.5,3.9,0,23.4
"96","CMT",NA,NA,1,1.8,-73.984261,40.757487,1,"N",-73.97336,40.779721,"CRD",10,0,0.5,2,0,12.5
"97","CMT",NA,NA,1,0.9,-73.936399,40.799092,1,"N",-73.948856,40.803091,"CRD",6,0,0.5,1.3,0,7.8
"98","CMT",NA,NA,2,0.9,-73.983686,40.673036,1,"N",-73.991702,40.68001,"CRD",7,0,0.5,1.5,0,9
"99","CMT",NA,NA,1,0.7,-73.977727,40.764433,1,"N",-73.97282,40.758935,"CRD",6.5,0,0.5,1,0,8
"100","CMT",NA,NA,1,0.6,-73.983218,40.766945,1,"N",-73.993875,40.769702,"CRD",5.5,0,0.5,1.5,0,7.5
