event_id,start_dt,event_desc,league_id,status_id,description,mma_event_id,event_id_1,match_number,title,fighter_1_id,fighter_2_id,fighter_1_weight,fighter_2_weight,winner_id,result,decision_round,decision_seconds,modified_from,modified_by,modified_dt,decision_method,weight_class,sport_id,scheduled_rounds,round_length,fighter1_name,fighter2_name
400255701,17-May-96,UFC 9: Motor City Madness,3321,10504,Final,4213,4213,1,,2335653,2335726,205,205,2335726,Won,1,1800,WTS-SA01X,jonesn,19-Apr-11,Split Decision,Light Heavyweight,MMA,1,30:00:00,Ken Shamrock,Dan Severn
400255697,12-Jul-96,UFC 10: The Tournament,3321,10504,Final,2466,2466,1,,2354083,2335515,210,235,2335515,Won,1,694,WTS-DG01,landrigm,9-Feb-10,TKO,Heavyweight,MMA,1,15:00,Don Frye,Mark Coleman
400255697,12-Jul-96,UFC 10: The Tournament,3321,10504,Final,2466,2466,2,,2473804,2335515,240,235,2335515,Won,1,420,WTS-DG01,landrigm,9-Feb-10,Submission (Exhaustion),Heavyweight,MMA,1,15:00,Gary Goodridge,Mark Coleman
400255697,12-Jul-96,UFC 10: The Tournament,3321,10504,Final,2466,2466,3,,2499779,2335515,235,230,2335515,Won,1,163,WTS-DG01,landrigm,9-Feb-10,Submission (Strikes),Heavyweight,MMA,1,15:00,Moti Horenstein,Mark Coleman
400255694,20-Sep-96,UFC 11: The Proving Ground,3321,10504,Final,2465,2465,1,,2499775,2335515,220,235,2335515,Won,1,140,WTS-DG01,landrigm,9-Feb-10,Submission (Strikes),Heavyweight,MMA,1,15:00,Brian Johnston,Mark Coleman
400255694,20-Sep-96,UFC 11: The Proving Ground,3321,10504,Final,2465,2465,2,,2499776,2335515,270,235,2335515,Won,1,45,WTS-DG01,landrigm,9-Feb-10,Submission (Choke),Heavyweight,MMA,1,15:00,Julian Sanchez,Mark Coleman
400255688,7-Dec-96,UFC: Ultimate Ultimate 96,3321,10504,Final,4223,4223,1,,2335653,2499775,205,205,2335653,Won,1,348,WTS-SA01X,jonesn,19-Apr-11,Submission (Forearm Choke),Light Heavyweight,MMA,3,5:00,Ken Shamrock,Brian Johnston
400255685,7-Feb-97,UFC 12:  Judgement Day,3321,10504,Final,2464,2464,1,,2335726,2335515,250,250,2335515,Won,1,177,WTS-DG01,landrigm,9-Feb-10,Submission (Choke),Heavyweight,MMA,1,15:00,Dan Severn,Mark Coleman
400255685,7-Feb-97,UFC 12:  Judgement Day,3321,10504,Final,2464,2464,2,,2499918,2354057,300,235,2354057,Won,1,43,WTS-SA06X,jonesn,5-Apr-10,TKO,Heavyweight,MMA,1,15:00,Scott Ferrozzo,Vitor Belfort
400255685,7-Feb-97,UFC 12:  Judgement Day,3321,10504,Final,2464,2464,3,,2499917,2354057,235,235,2354057,Won,1,77,WTS-SA06X,jonesn,5-Apr-10,TKO (Cut),Middleweight,MMA,1,15:00,Tra Telligman,Vitor Belfort
