"","year","Arm Triangle","Armbar","Guillotine","Heel Hook","Keylock","Kimura","Punches","Rear Naked Choke","Triangle Choke","Unknown"
"1",1993,0,0,0,33.3333333333333,0,0,0,66.6666666666667,0,0
"2",1994,6.25,18.75,18.75,0,6.25,0,6.25,25,0,18.75
"3",1995,9.52380952380952,9.52380952380952,23.8095238095238,4.76190476190476,9.52380952380952,0,9.52380952380952,19.047619047619,4.76190476190476,9.52380952380952
"4",1996,5.55555555555556,22.2222222222222,11.1111111111111,0,5.55555555555556,0,16.6666666666667,38.8888888888889,0,0
"5",1997,0,16.2162162162162,5.40540540540541,10.8108108108108,8.10810810810811,2.7027027027027,18.9189189189189,29.7297297297297,5.40540540540541,2.7027027027027
"6",1998,0,29.1666666666667,8.33333333333333,0,2.08333333333333,2.08333333333333,20.8333333333333,29.1666666666667,6.25,2.08333333333333
"7",1999,2.38095238095238,29.7619047619048,9.52380952380952,2.38095238095238,8.33333333333333,3.57142857142857,11.9047619047619,23.8095238095238,5.95238095238095,2.38095238095238
"8",2000,4.62962962962963,37.962962962963,7.40740740740741,4.62962962962963,4.62962962962963,0,9.25925925925926,19.4444444444444,5.55555555555556,6.48148148148148
"9",2001,6.55737704918033,27.8688524590164,7.37704918032787,8.19672131147541,4.91803278688525,2.45901639344262,7.37704918032787,20.4918032786885,12.2950819672131,2.45901639344262
"10",2002,4.05405405405405,27.027027027027,10.1351351351351,1.35135135135135,4.05405405405405,1.35135135135135,11.4864864864865,24.3243243243243,14.8648648648649,1.35135135135135
"11",2003,2.09205020920502,34.3096234309623,9.20502092050209,2.51046025104602,0.836820083682008,3.34728033472803,10.4602510460251,18.4100418410042,8.78661087866109,10.0418410041841
"12",2004,3.59712230215827,25.5395683453237,11.5107913669065,2.15827338129496,1.79856115107914,2.87769784172662,7.19424460431655,26.6187050359712,14.0287769784173,4.67625899280576
"13",2005,3.38983050847458,22.5988700564972,11.0169491525424,1.9774011299435,1.9774011299435,2.54237288135593,8.19209039548022,31.638418079096,12.1468926553672,4.51977401129944
"14",2006,4.60176991150442,22.1238938053097,11.1504424778761,2.12389380530973,2.12389380530973,2.65486725663717,5.30973451327434,32.5663716814159,13.6283185840708,3.71681415929204
"15",2007,3.91061452513966,21.3687150837989,12.1508379888268,3.07262569832402,0.418994413407821,3.63128491620112,6.98324022346369,31.8435754189944,12.1508379888268,4.46927374301676
"16",2008,2.26364846870839,22.37017310253,14.3808255659121,2.39680426098535,0.66577896138482,3.59520639147803,4.92676431424767,33.155792276964,10.5193075898802,5.72569906790945
"17",2009,5.67595459236326,17.6470588235294,13.312693498452,1.96078431372549,1.75438596491228,4.12796697626419,4.64396284829721,36.9453044375645,10.7327141382869,3.19917440660475
"18",2010,4.53257790368272,18.3191690273843,15.2974504249292,2.26628895184136,1.32200188857413,3.87157695939566,5.47686496694995,35.7884796978281,9.25401322001889,3.87157695939566
"19",2011,5.80137659783678,19.1740412979351,15.1425762045231,2.75319567354966,1.47492625368732,2.55653883972468,5.01474926253687,35.9882005899705,9.34119960668633,2.75319567354966
"20",2012,6.53804930332262,19.1854233654877,16.8274383708467,2.89389067524116,1.17899249732047,3.21543408360129,3.32261521972133,35.048231511254,9.96784565916399,1.82207931404073
"21",2013,8.04020100502512,20.1005025125628,14.572864321608,1.88442211055276,1.63316582914573,3.14070351758794,1.75879396984925,38.4422110552764,7.53768844221105,2.8894472361809
"22",2014,6.07734806629834,12.707182320442,18.232044198895,1.65745856353591,0.552486187845304,3.31491712707182,0.736648250460405,46.0405156537753,6.44567219152855,4.23572744014733
"23",2015,7.74647887323944,14.7887323943662,20.4225352112676,0,2.11267605633803,2.8169014084507,0,42.9577464788732,8.45070422535211,0.704225352112676
