GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC02_EST_VC02,HC02_EST_VC01,HD01_VD01,HD01_VD02,HD01_VD03
Id,Id2,Geography,Total; Estimate; Households,Median income (dollars); Estimate; Households,"Percent of specified language speakers  - Speak English ""very well""; Estimate; Population 5 years and over",Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone
7950000US3603002,3603002,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA; New York",37637,86668,92.2,107580,80018,12003
7950000US3603003,3603003,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA; New York",26655,57888,68.7,109157,72458,18474
7950000US3603101,3603101,"Putnam County PUMA, New York",33591,93850,94,103141,94150,2331
7950000US3603102,3603102,"Westchester County (Northwest) PUMA, New York",50873,81906,88,151334,94466,16246
7950000US3603103,3603103,"Westchester County (Northeast) PUMA, New York",46266,119989,94.3,134756,117272,3207
7950000US3603104,3603104,"Westchester County (Southeast) PUMA, New York",39808,102636,85.2,121245,87843,5205
7950000US3603105,3603105,"Westchester County (Central)--White Plains City PUMA, New York",58460,104562,88.1,166059,108120,20228
7950000US3603106,3603106,"Westchester County (Southwest)--Yonkers City PUMA, New York",73972,65589,84.2,199764,119741,32231
7950000US3603107,3603107,"Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA, New York",71036,66313,90.4,192148,106281,61645
7950000US3603201,3603201,"Nassau County (Northwest)--North Hempstead Town (North) PUMA, New York",39631,113196,86.6,114890,92200,3771
7950000US3603202,3603202,"Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA, New York",37507,115124,90.4,112096,87508,3370
7950000US3603203,3603203,"Nassau County (East Central)--Oyster Bay Town (Central) PUMA, New York",33790,106588,90.3,103504,78708,1975
7950000US3603204,3603204,"Nassau County (West Central)--North Hempstead Town (South) PUMA, New York",37909,90969,83.6,113696,66584,11922
7950000US3603205,3603205,"Nassau County (West Central)--Hempstead Town (Northwest) PUMA, New York",37506,100429,86.6,125324,74696,26201
7950000US3603206,3603206,"Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA, New York",40924,58548,70,145987,32276,61223
7950000US3603207,3603207,"Nassau County (Central)--Hempstead Town (Northeast) PUMA, New York",36714,92477,90.8,115039,96933,1591
7950000US3603208,3603208,"Nassau County (Southeast)--Oyster Bay Town (South) PUMA, New York",35276,101674,95.7,107699,97999,4249
7950000US3603209,3603209,"Nassau County (Central)--Hempstead Town (East Central) PUMA, New York",33150,122784,N,105211,96916,943
7950000US3603210,3603210,"Nassau County (South Central)--Hempstead Town (Southeast) PUMA, New York",35104,88851,91.5,97876,76277,8231
7950000US3603211,3603211,"Nassau County (West Central)--Hempstead Town (West Central) PUMA, New York",33285,91745,89.3,103876,59160,20649
7950000US3603212,3603212,"Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA, New York",37792,90564,90.2,106948,82421,7898
7950000US3603301,3603301,"Suffolk County (Northwest)--Huntington Town (North) PUMA, New York",34883,101483,N,102315,85293,5745
7950000US3603302,3603302,"Suffolk County (Northwest)--Huntington Town (South) PUMA, New York",33473,112211,95.3,101409,84982,6728
7950000US3603303,3603303,"Suffolk County (Northwest)--Smithtown Town PUMA, New York",39252,113327,97.1,118306,110096,1350
7950000US3603304,3603304,"Suffolk County (North Central)--Brookhaven Town (North) PUMA, New York",38383,100042,94.6,116776,103690,1957
7950000US3603305,3603305,"Suffolk County (East) PUMA, New York",52724,67745,93,138177,124304,8118
7950000US3603306,3603306,"Suffolk County (South Central)--Brookhaven Town (South) PUMA, New York",44804,77657,94.8,134560,111312,11876
7950000US3603307,3603307,"Suffolk County (Central)--Brookhaven Town (Central) PUMA, New York",44876,68393,N,124105,103237,10190
7950000US3603308,3603308,"Suffolk County (Central)--Brookhaven Town (West Central) PUMA, New York",35538,86316,92.7,113889,102841,1585
7950000US3603309,3603309,"Suffolk County (Central)--Islip Town (East) PUMA, New York",36365,85784,96.6,101771,95662,1455
7950000US3603310,3603310,"Suffolk County (Central)--Islip Town (Northwest) PUMA, New York",32590,71669,66.8,133882,57629,25320
7950000US3603311,3603311,"Suffolk County (Southwest)--Islip Town (South) PUMA, New York",33988,93843,97,100680,82928,9748
7950000US3603312,3603312,"Suffolk County (Southwest)--Babylon Town (Southeast) PUMA, New York",34199,79239,N,101285,85035,6383
7950000US3603313,3603313,"Suffolk County (West Central)--Babylon Town (Northwest) PUMA, New York",35883,68557,78,112583,58761,26730
7950000US3603701,3603701,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",41585,60614,80.9,114884,52005,15885
7950000US3603702,3603702,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",46196,45633,91.6,135386,15272,93297
7950000US3603703,3603703,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",44637,56059,87.9,122671,49348,36474
7950000US3603704,3603704,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",42571,43075,75.4,121307,40183,28131
7950000US3603705,3603705,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",55848,24259,73.3,168746,24036,60845
7950000US3603706,3603706,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",42986,29069,63.4,127336,20656,21742
7950000US3603707,3603707,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",44874,24261,63.5,136077,15305,45315
7950000US3603708,3603708,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",47358,26387,67.4,138206,13159,48947
7950000US3603709,3603709,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",65913,32363,73,191175,46952,68891
7950000US3603710,3603710,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",49175,23083,68.7,162945,15678,50106
7950000US3603801,3603801,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York",70521,37462,63,218366,82775,26106
7950000US3603802,3603802,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",45181,45600,77.6,130017,55834,29298
7950000US3603803,3603803,"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",55482,36917,91.3,148434,29392,93205
7950000US3603804,3603804,"NYC-Manhattan Community District 11--East Harlem PUMA, New York",44904,26941,82.8,114311,32995,38997
7950000US3603805,3603805,"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",116024,107690,95,217537,184404,8698
7950000US3603806,3603806,"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",92810,99273,91.7,179877,134662,16454
7950000US3603807,3603807,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",79357,100635,91.1,146996,102342,13009
7950000US3603808,3603808,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",76952,108077,95.1,147069,112097,3810
7950000US3603809,3603809,"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",67325,40133,68.7,163820,65423,12509
7950000US3603810,3603810,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",77801,125311,94.1,159732,120086,3447
7950000US3603901,3603901,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA; New York",57569,85165,93.6,158670,147573,1556
7950000US3603902,3603902,"NYC-Staten Island Community District 2--New Springville & South Beach PUMA, New York",48537,68661,87.5,136769,104782,6100
7950000US3603903,3603903,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York",61523,60721,87.9,177182,105155,41644
7950000US3604001,3604001,"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",63081,52419,75.9,156086,120144,7156
7950000US3604002,3604002,"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",45803,43354,69.9,145795,63195,50749
7950000US3604003,3604003,"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",49713,37195,86.2,143629,39704,87456
7950000US3604004,3604004,"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",55501,76040,91.3,130954,63427,37310
7950000US3604005,3604005,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",49115,101789,89.8,116339,85332,6596
7950000US3604006,3604006,"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",51641,39034,91.4,127050,31319,77268
7950000US3604007,3604007,"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",43558,27933,90.3,128100,6483,104364
7950000US3604008,3604008,"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",53034,36943,83.8,158183,27683,95988
7950000US3604009,3604009,"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",66492,66283,86.8,201817,52202,132034
7950000US3604010,3604010,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",46096,42666,92.3,132564,2899,120950
7950000US3604011,3604011,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",38793,46294,90,103822,19343,77915
7950000US3604012,3604012,"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",45918,45075,50.7,154422,46900,6159
7950000US3604013,3604013,"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",49711,58621,71.6,127683,86251,2817
7950000US3604014,3604014,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",45772,40571,66.6,161036,116640,4072
7950000US3604015,3604015,"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",55923,42312,72.2,157167,69225,53100
7950000US3604016,3604016,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",57055,51064,68.4,156346,118464,4022
7950000US3604017,3604017,"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",63297,47272,54.8,184907,98020,2806
