geoid,median_income,total_households,nonwhite_share,total_pop,black_pop,black_share,pct_speak_eng_less_well,median_age,share_24_44
3.61E+10,56853,769,40.7958,1885,12,0.636605,35.3,39.2,34.1
3.60E+10,64150,1938,21.3683,4151,171,4.11949,17.9,33.7,51.2
3.60E+10,42304,2656,85.359,7076,4191,59.2284,16.9,35.3,33.5
3.61E+10,66719,1099,12.8081,2475,66,2.66667,17.8,43.7,28.2
3.60E+10,100089,680,16.7025,1395,59,4.22939,16.8,36.2,50.8
3.61E+10,68250,527,95.8752,1891,1751,92.5965,9.4,42,33.2
3.60E+10,70027,1997,18.7591,4126,76,1.84198,3.5,48.7,16.6
3.60E+10,28918,1880,93.6764,5693,4335,76.1461,18.7,30.9,32.7
3.60E+10,35259,1240,93.0117,3420,2816,82.3392,16.9,39.2,27.8
3.61E+10,47027,748,20.011,1819,23,1.26443,29.1,38.4,36.4
3.60E+10,76395,914,24.9859,1773,250,14.1004,15.2,32.8,59.2
3.61E+10,81750,623,96.0065,2454,2249,91.6463,1.7,28.8,26.7
3.60E+10,72803,1328,71.554,3417,1408,41.2057,16.3,39.5,30.9
3.60E+10,78877,1922,18.1405,3958,111,2.80445,10.5,34.8,65.4
3.61E+10,94938,503,96.7923,1777,1640,92.2904,2.7,36,27.1
3.60E+10,52861,1413,70.8966,4216,1208,28.6528,26.7,33.1,31.7
3.61E+10,61250,653,17.1141,1490,54,3.62416,18.4,39.8,28.3
3.61E+10,79896,555,96.2904,1887,1669,88.4473,10.4,39.4,24
3.60E+10,34464,2396,24.3596,6129,325,5.30266,31.8,31.8,40.6
3.61E+10,72593,604,99.0361,1660,1469,88.494,6.4,43.4,25.9
3.61E+10,65208,701,15.0463,1728,4,0.231481,34.3,37.6,31.8
3.60E+10,16304,1134,11.8629,3296,134,4.06553,31.9,26.3,22.3
3.61E+10,81290,508,95.2241,1696,1503,88.6203,7.7,37.5,24.2
3.60E+10,55197,1736,54.2209,4537,1204,26.5374,33.4,34.1,33.7
3.60E+10,25778,2467,32.7038,6672,556,8.33333,35.1,30.4,41.9
3.61E+10,57557,427,94.0397,1359,1220,89.7719,1.1,45.4,17
3.60E+10,81591,666,51.9603,2117,249,11.7619,24.7,33.6,32.5
3.60E+10,25773,982,6.13558,4042,30,0.742207,34.5,19.2,25.7
3.61E+10,54189,697,100,2258,2153,95.3499,4.5,42,26.2
3.60E+10,48727,1097,29.9309,3037,197,6.48666,41.3,34.4,27.1
3.60E+10,35694,1515,0.411722,8258,0,0,37,12.9,23
3.61E+10,41919,1235,11.8649,3169,26,0.820448,32.4,34.7,33.4
3.61E+10,86453,551,95.4685,1633,1414,86.5891,0.4,40.3,25.8
