Date/Time,Lat,Lon,Base
4/1/14 0:11,40.76904735,-73.9548761,B02512
4/1/14 0:17,40.72668741,-74.03452743,B02512
4/1/14 0:21,40.73162128,-73.98734359,B02512
4/1/14 0:28,40.75875632,-73.97755539,B02512
4/1/14 0:33,40.75943894,-73.97218195,B02512
4/1/14 0:33,40.73830444,-74.04034892,B02512
4/1/14 0:39,40.7222737,-73.98873455,B02512
4/1/14 0:45,40.76200972,-73.97896028,B02512
4/1/14 0:55,40.75238508,-73.99600971,B02512
4/1/14 1:01,40.75753379,-73.98455811,B02512
4/1/14 1:19,40.72555527,-73.98689593,B02512
4/1/14 1:48,40.75907744,-73.96840179,B02512
4/1/14 1:49,40.72711745,-73.98030633,B02512
4/1/14 2:11,40.64627726,-73.78962977,B02512
4/1/14 2:25,40.75640574,-73.91667222,B02512
4/1/14 2:31,40.7665803,-73.95310232,B02512
4/1/14 2:43,40.75804517,-73.9760791,B02512
4/1/14 3:22,40.72382671,-73.98214976,B02512
4/1/14 3:35,40.75307649,-74.00393934,B02512
4/1/14 3:35,40.73891459,-74.03927964,B02512
4/1/14 3:41,40.76192477,-73.97150417,B02512
4/1/14 4:11,40.75300709,-74.00415259,B02512
4/1/14 4:15,40.65607455,-73.95314337,B02512
4/1/14 4:19,40.72500676,-73.98436133,B02512
4/1/14 4:20,40.69501688,-74.17831764,B02512
4/1/14 4:26,40.9858549,-74.15778902,B02512
4/1/14 4:27,40.68785544,-74.18139288,B02512
4/1/14 4:38,40.68784259,-74.18155524,B02512
4/1/14 4:47,40.72342229,-73.99735226,B02512
4/1/14 4:49,40.73362306,-73.99001735,B02512
4/1/14 5:08,40.71406427,-74.00942728,B02512
4/1/14 5:12,40.78931448,-73.97093612,B02512
4/1/14 5:18,40.77468395,-73.99104313,B02512
4/1/14 5:19,40.76890694,-73.98764402,B02512
4/1/14 5:23,40.77440504,-74.0149474,B02512
4/1/14 5:24,40.73931578,-73.99737542,B02512
4/1/14 5:24,40.77762351,-73.97519459,B02512
4/1/14 5:27,40.64834998,-73.78292793,B02512
4/1/14 5:34,40.69074335,-74.17818711,B02512
4/1/14 5:36,40.72166942,-73.98751376,B02512
4/1/14 5:36,40.76505254,-73.96324406,B02512
4/1/14 5:40,40.74365968,-73.99848626,B02512
4/1/14 5:43,40.76052053,-73.97802515,B02512
4/1/14 5:44,40.74299002,-74.0300598,B02512
4/1/14 5:44,40.74299002,-74.0300598,B02512
4/1/14 5:49,40.74229527,-74.0371472,B02512
4/1/14 5:49,40.72358921,-74.00372311,B02512
4/1/14 5:52,40.77234455,-73.95271202,B02512
4/1/14 5:52,40.75743881,-73.98624649,B02512
4/1/14 5:53,40.78378759,-73.95036084,B02512
4/1/14 5:54,40.7710802,-73.98714573,B02512
4/1/14 5:56,40.75711641,-73.97255617,B02512
4/1/14 5:56,40.7441597,-73.9854353,B02512
4/1/14 5:58,40.71660122,-74.01444725,B02512
4/1/14 6:00,40.75071688,-73.97028875,B02512
4/1/14 6:01,40.73369293,-73.99794973,B02512
4/1/14 6:02,40.72358374,-74.01109581,B02512
4/1/14 6:03,40.7151027,-74.04637635,B02512
4/1/14 6:06,40.7700506,-73.95883181,B02512
4/1/14 6:08,40.85996504,-73.91415283,B02512
4/1/14 6:08,40.75545239,-73.97293394,B02512
4/1/14 6:14,40.72490609,-74.03549345,B02512
4/1/14 6:14,40.61929051,-74.15697271,B02512
4/1/14 6:15,40.77529047,-73.97796602,B02512
4/1/14 6:15,40.72041153,-73.95446633,B02512
4/1/14 6:16,40.77721656,-73.95949032,B02512
4/1/14 6:17,40.76510905,-74.08203104,B02512
4/1/14 6:17,40.74002324,-73.98792772,B02512
4/1/14 6:19,40.77409462,-73.95684637,B02512
4/1/14 6:20,40.75987015,-73.99438164,B02512
4/1/14 6:21,40.75310543,-74.00391775,B02512
4/1/14 6:22,40.77911215,-73.9623036,B02512
4/1/14 6:25,40.73823198,-74.00330795,B02512
4/1/14 6:31,40.73913039,-73.99887267,B02512
4/1/14 6:31,40.78060036,-73.98200878,B02512
4/1/14 6:32,40.73218552,-73.98629621,B02512
4/1/14 6:33,40.77030628,-73.96601894,B02512
4/1/14 6:34,40.72213965,-74.00184581,B02512
4/1/14 6:35,40.75879327,-73.98946271,B02512
4/1/14 6:36,40.76766225,-73.96555969,B02512
4/1/14 6:37,40.740429,-74.00763025,B02512
4/1/14 6:38,40.76791695,-73.95987033,B02512
